title	images	identifier	sentences	caption	caption_transf
How to Become a Buddhist Monk	https://www.wikihow.com/images/thumb/8/83/Become-a-Buddhist-Monk-Step-4-Version-2.jpg/v4-460px-Become-a-Buddhist-Monk-Step-4-Version-2.jpg	rE8_126	Spend time meditating.	A man sitting in front of a statue holding a bottle of water.	A man sitting in a mirror looking at a statue.
How to Be an Individual	https://www.wikihow.com/images/thumb/0/04/Be-an-Individual-Step-7-Version-2.jpg/v4-460px-Be-an-Individual-Step-7-Version-2.jpg	rE24_317	Know that there is literally no one else like you in the world.	A woman standing in front of a mirror holding a polka dot umbrella.	A woman standing in front of a group of people.
How to Begin Zen Meditation (Zazen)	https://www.wikihow.com/images/thumb/2/2a/Begin-Zen-Meditation-%28Zazen%29-Step-11-Version-3.jpg/v4-460px-Begin-Zen-Meditation-%28Zazen%29-Step-11-Version-3.jpg	rE43_564	Do not worry about perfection right away.	A woman sitting on top of a table next to a potted plant.	A woman sitting on a brick wall in front of a building.
How to Pray	https://www.wikihow.com/images/thumb/4/4e/Pray-Step-3-Version-3.jpg/v4-460px-Pray-Step-3-Version-3.jpg	rE46_585	Know your purpose.	a close up of a person holding a sign near a fire place	A woman sitting in front of a painting on a table.
How to Heal Your Chakras	https://www.wikihow.com/images/thumb/e/ea/Heal-Your-Chakras-Step-6-Version-2.jpg/v4-460px-Heal-Your-Chakras-Step-6-Version-2.jpg	rE48_608	Heal the third chakra with sunshine.	A woman carrying a surfboard across a sandy beach.	A man standing on a beach holding a surfboard.
How to Perform a New Moon Ritual	https://www.wikihow.com/images/thumb/a/ad/Perform-a-New-Moon-Ritual-Step-3-Version-3.jpg/v4-460px-Perform-a-New-Moon-Ritual-Step-3-Version-3.jpg	rE51_640	Set up an altar.	A table topped with a candle and a glass of wine.	A table with a candle and a plate with a candle on it.
How to Perform a New Moon Ritual	https://www.wikihow.com/images/thumb/5/57/Perform-a-New-Moon-Ritual-Step-8.jpg/v4-460px-Perform-a-New-Moon-Ritual-Step-8.jpg	rE51_645	Acknowledge the energy of the elements.	A woman holding a hotdog up to her face.	A woman sitting in a hotel room with a cell phone in her hand.
How to Cross Yourself	https://www.wikihow.com/images/thumb/a/ab/Cross-Yourself-Step-2-Version-2.jpg/v4-460px-Cross-Yourself-Step-2-Version-2.jpg	rE55_688	Lift your right hand.	A man adjusting his tie in front of a building.	A man is posing for a picture.
How to Feel Beautiful on the Inside	https://www.wikihow.com/images/thumb/c/ce/Feel-Beautiful-on-the-Inside-Step-10-Version-2.jpg/v4-460px-Feel-Beautiful-on-the-Inside-Step-10-Version-2.jpg	rE60_748	Be of service to others.	A man standing next to a little girl holding a pair of scissors.	A man and a woman standing next to each other.
How to Find Your Spirit Animal	https://www.wikihow.com/images/thumb/8/81/Find-out-What-Your-Spiritual-Animal-Is-Step-2.jpg/v4-460px-Find-out-What-Your-Spiritual-Animal-Is-Step-2.jpg	rE62_770	Be open to messages.	A person standing in front of a painting holding a frisbee.	A person standing next to a fence with a frisbee.
How to Pray the Chaplet of Divine Mercy	https://www.wikihow.com/images/thumb/3/35/Pray-the-Chaplet-of-Divine-Mercy-Step-5-Version-2.jpg/v4-460px-Pray-the-Chaplet-of-Divine-Mercy-Step-5-Version-2.jpg	rE66_819	Tap your fingertips against the middle of your chest.	a close up of a person holding a pair of scissors	A close up of a person holding a hand.
How to Blow a Shofar	https://www.wikihow.com/images/thumb/6/60/Blow-a-Shofar-Step-7.jpg/v4-460px-Blow-a-Shofar-Step-7.jpg	rE69_863	Practice the shevarim.	A man holding a pair of scissors in his hand.	A person holding a bottle up to a person's mouth.
How to Meditate on the Word of God	https://www.wikihow.com/images/thumb/6/69/Meditate-on-the-Word-of-God-Step-14.jpg/v4-460px-Meditate-on-the-Word-of-God-Step-14.jpg	rE70_879	Evoke an emotional response.	A hand that is holding a napkin with a napkin in it.	A close up of a person holding a cell phone.
How to Read the Qur'an	https://www.wikihow.com/images/thumb/2/2c/Read-the-Qur%27an-Step-9.jpg/v4-460px-Read-the-Qur%27an-Step-9.jpg	rE71_890	Take notes	A book with a picture of a hotdog and a cup of coffee.	A wooden table with a pen and a stack of books.
How to Improve Your Self Esteem	https://www.wikihow.com/images/thumb/d/d0/Elevate-Your-Self-Esteem-Step-5.jpg/v4-460px-Elevate-Your-Self-Esteem-Step-5.jpg	rE72_902	Do things you enjoy.	A drawing of a man holding a surfboard next to a woman.	A couple of people sitting on a beach near a painting.
How to Become a Nun	https://www.wikihow.com/images/thumb/5/53/Buy-Small-Business-Insurance-Step-14-Version-2.jpg/v4-460px-Buy-Small-Business-Insurance-Step-14-Version-2.jpg	rE80_1017	Contact a specific community.	A woman holding a phone in front of her face.	A woman is talking on a cell phone.
How to Say a Novena to St. Therese the Little Flower	https://www.wikihow.com/images/thumb/e/e1/Say-a-Novena-to-St.-Therese-the-Little-Flower-Step-4-Version-2.jpg/v4-460px-Say-a-Novena-to-St.-Therese-the-Little-Flower-Step-4-Version-2.jpg	rE86_1128	Close by placing emphasis on your good intentions.	a close up of a person holding a pair of scissors	a close up of a man with a hair on his head.
