idx	url	title	category	language	images	sentences	identifier
0	https://www.wikihow.com/Leave-Jehovah's-Witnesses	How to Leave Jehovah's Witnesses	religion	English	https://www.wikihow.com/images/thumb/8/81/Leave-Jehovah%27s-Witnesses-Step-1.jpg/v4-460px-Leave-Jehovah%27s-Witnesses-Step-1.jpg	Do personal research.	rE0_0
0	https://www.wikihow.com/Leave-Jehovah's-Witnesses	How to Leave Jehovah's Witnesses	religion	English	https://www.wikihow.com/images/thumb/2/2b/Leave-Jehovah%27s-Witnesses-Step-2.jpg/v4-460px-Leave-Jehovah%27s-Witnesses-Step-2.jpg	Decide how you feel about shunning and the announcement:	rE0_1
0	https://www.wikihow.com/Leave-Jehovah's-Witnesses	How to Leave Jehovah's Witnesses	religion	English	https://www.wikihow.com/images/thumb/0/0f/Leave-Jehovah%27s-Witnesses-Step-3.jpg/v4-460px-Leave-Jehovah%27s-Witnesses-Step-3.jpg	If you want to avoid being shunned, continue to live as one of Jehovah's Witnesses while slowly fading.	rE0_2
0	https://www.wikihow.com/Leave-Jehovah's-Witnesses	How to Leave Jehovah's Witnesses	religion	English	https://www.wikihow.com/images/thumb/9/97/Leave-Jehovah%27s-Witnesses-Step-4.jpg/v4-460px-Leave-Jehovah%27s-Witnesses-Step-4.jpg	If you are not concerned about shunning, simply stop attending meetings at the Kingdom Hall and carry on your life in the manner that reflects your true beliefs.	rE0_3
1	https://www.wikihow.com/Be-a-Successful-Muslim-Husband	How to Be a Successful Muslim Husband	religion	English	https://www.wikihow.com/images/thumb/2/26/Be-a-Successful-Muslim-Husband-Step-1-Version-2.jpg/v4-460px-Be-a-Successful-Muslim-Husband-Step-1-Version-2.jpg	Talk with your spouse.	rE1_4
1	https://www.wikihow.com/Be-a-Successful-Muslim-Husband	How to Be a Successful Muslim Husband	religion	English	https://www.wikihow.com/images/thumb/f/f2/Be-a-Successful-Muslim-Husband-Step-2-Version-2.jpg/v4-460px-Be-a-Successful-Muslim-Husband-Step-2-Version-2.jpg	Share authority.	rE1_5
1	https://www.wikihow.com/Be-a-Successful-Muslim-Husband	How to Be a Successful Muslim Husband	religion	English	https://www.wikihow.com/images/thumb/b/b2/Be-a-Successful-Muslim-Husband-Step-3-Version-2.jpg/v4-460px-Be-a-Successful-Muslim-Husband-Step-3-Version-2.jpg	Build trust.	rE1_6
1	https://www.wikihow.com/Be-a-Successful-Muslim-Husband	How to Be a Successful Muslim Husband	religion	English	https://www.wikihow.com/images/thumb/8/8e/Be-a-Successful-Muslim-Husband-Step-4-Version-2.jpg/v4-460px-Be-a-Successful-Muslim-Husband-Step-4-Version-2.jpg	Share domestic duties.	rE1_7
1	https://www.wikihow.com/Be-a-Successful-Muslim-Husband	How to Be a Successful Muslim Husband	religion	English	https://www.wikihow.com/images/thumb/3/3b/Be-a-Successful-Muslim-Husband-Step-5-Version-2.jpg/v4-460px-Be-a-Successful-Muslim-Husband-Step-5-Version-2.jpg	Pay attention to your spouse's feelings.	rE1_8
1	https://www.wikihow.com/Be-a-Successful-Muslim-Husband	How to Be a Successful Muslim Husband	religion	English	https://www.wikihow.com/images/thumb/a/a1/Be-a-Successful-Muslim-Husband-Step-6-Version-2.jpg/v4-460px-Be-a-Successful-Muslim-Husband-Step-6-Version-2.jpg	Express your love.	rE1_9
1	https://www.wikihow.com/Be-a-Successful-Muslim-Husband	How to Be a Successful Muslim Husband	religion	English	https://www.wikihow.com/images/thumb/8/89/Be-a-Successful-Muslim-Husband-Step-7-Version-2.jpg/v4-460px-Be-a-Successful-Muslim-Husband-Step-7-Version-2.jpg	Kiss your spouse.	rE1_10
1	https://www.wikihow.com/Be-a-Successful-Muslim-Husband	How to Be a Successful Muslim Husband	religion	English	https://www.wikihow.com/images/thumb/a/a9/Be-a-Successful-Muslim-Husband-Step-8-Version-2.jpg/v4-460px-Be-a-Successful-Muslim-Husband-Step-8-Version-2.jpg	Share what you both love.	rE1_11
1	https://www.wikihow.com/Be-a-Successful-Muslim-Husband	How to Be a Successful Muslim Husband	religion	English	https://www.wikihow.com/images/thumb/a/ae/Be-a-Successful-Muslim-Husband-Step-9-Version-2.jpg/v4-460px-Be-a-Successful-Muslim-Husband-Step-9-Version-2.jpg	Show your appreciation.	rE1_12
1	https://www.wikihow.com/Be-a-Successful-Muslim-Husband	How to Be a Successful Muslim Husband	religion	English	https://www.wikihow.com/images/thumb/7/75/Be-a-Successful-Muslim-Husband-Step-10-Version-2.jpg/v4-460px-Be-a-Successful-Muslim-Husband-Step-10-Version-2.jpg	Use affectionate language.	rE1_13
1	https://www.wikihow.com/Be-a-Successful-Muslim-Husband	How to Be a Successful Muslim Husband	religion	English	https://www.wikihow.com/images/thumb/a/a5/Be-a-Successful-Muslim-Husband-Step-11-Version-2.jpg/v4-460px-Be-a-Successful-Muslim-Husband-Step-11-Version-2.jpg	Be generous and giving in bed.	rE1_14
